,gram,language1,language2,l1,l2,kl,dot_product
816,bigram,Russian,Somali,1.8689801178159386,0.11604899215592865,0.31264419133952054,0.047348351034437845
817,bigram,Russian,Spanish,1.3608160795410584,0.09856054863405084,0.3567795308645351,0.3834713464083501
818,bigram,Russian,Swedish,1.9041795734030609,0.11170618914786425,0.6511229559603955,0.036268121527444575
819,bigram,Russian,Telugu,1.7610452325231556,0.10509843974952701,1.015257765645003,0.13996565361837132
820,bigram,Russian,Thai,1.6804846478928979,0.09188634765813634,0.3293465357793201,0.2493099000077687
821,bigram,Russian,Urdu,1.9617481434601678,0.11905029345809955,0.17293747816902053,0.0055802846163573805
822,bigram,Russian,Vietnamese,1.7431835371198994,0.13170307229996817,0.5021037387653402,0.09799345366315125
823,bigram,Russian,Xhosa,1.749134100737092,0.10838272321239686,0.3453238280461939,0.18461332429081426
824,bigram,Russian,Zulu,1.5056406074687672,0.10391411447611401,0.8349870771274144,0.30095932621783544
825,bigram,Somali,Somali,0.0,0.0,0.0,1.0000000000000002
826,bigram,Somali,Spanish,1.7925110610378885,0.12885994139817436,0.18913512866623144,0.0724542843472424
827,bigram,Somali,Swedish,1.7736171528610583,0.11784316683153993,0.16144281648486647,0.09723267524325721
828,bigram,Somali,Telugu,1.839326624146414,0.12110385069504931,0.7043844044889686,0.03951537001451401
829,bigram,Somali,Thai,1.834095153221579,0.11484589517937806,0.7316616919518449,0.03641118881009114
830,bigram,Somali,Urdu,1.934582466609832,0.1281617357427414,0.08281236694613608,0.015465902825494733
831,bigram,Somali,Vietnamese,1.899971685379555,0.14542213423420267,0.2550316483159531,0.016896398375856672
832,bigram,Somali,Xhosa,1.7862531641141892,0.12265254798632226,0.12336073152137295,0.10362175316068092
833,bigram,Somali,Zulu,1.7788973476555583,0.1261864351362348,0.1891505957186339,0.10044976194625953
834,bigram,Spanish,Spanish,0.0,0.0,0.0,0.9999999999999998
835,bigram,Spanish,Swedish,1.8964765531803427,0.12674138590816075,1.3262571722035292,0.039573791909359037
836,bigram,Spanish,Telugu,1.7799622695550885,0.12214719623432314,1.4560932050829645,0.10287762003729857
837,bigram,Spanish,Thai,1.6852598094697442,0.11081932070896597,0.5997427205160644,0.1897959797492834
838,bigram,Spanish,Urdu,1.9858432375349517,0.13416118410748398,0.26756987771005264,0.0013228352782648138
