,gram,language1,language2,l1,l2,kl,rao,dot_product
50,bigram,Bengali,Punjabi,1.856577442512835,0.10856534223012705,0.7976270785318386,2.7511708659851357,0.0003768517218110026
51,bigram,Bengali,Tamil,1.6561275081688873,0.11388003637585337,0.2498286576021585,2.2100350266975743,0.0020349036699537585
52,bigram,Bengali,Telugu,1.751801378166237,0.1062536003043266,0.6357401297379619,2.29433221916978,0.0007764053449281117
53,bigram,Bengali,Urdu,1.9376261373049706,0.11443258265146104,0.005203950858211145,1.6161231601785955,0.00010542986530058167
54,bigram,Hindi,Hindi,0.0,0.0,0.0,0.0,0.005627917576570235
55,bigram,Hindi,Malayalam,1.7106972056008232,0.15820102946341963,0.8499437749953903,2.59719190773223,0.0007292650378960614
56,bigram,Hindi,Marathi,0.7978347943521017,0.05774483176205967,0.45660824259562616,1.3276144299620622,0.004078044660888578
57,bigram,Hindi,Oriya,1.659990124039782,0.12193410815424112,0.28262886033709966,2.389121882643259,0.0007304773675182322
58,bigram,Hindi,Punjabi,1.5552017554653363,0.09346857255438633,0.5336468263684976,1.583268664670427,0.0013756641892505867
59,bigram,Hindi,Tamil,1.6970691620141247,0.11908245859272192,0.6093684228058306,2.7350236906044487,0.0009027017685375109
60,bigram,Hindi,Telugu,1.4555966828859943,0.08477290243320539,0.5566989219577184,1.969570334433898,0.0023018793686136016
61,bigram,Hindi,Urdu,1.894734296796759,0.10920740877744155,-0.003154021443275299,1.7413965950407437,0.00016349151384527702
62,bigram,Malayalam,Malayalam,0.0,0.0,0.0,0.0,0.020858178222507774
63,bigram,Malayalam,Marathi,1.74031681030289,0.15881964877618934,0.9090534975951341,2.711861584357971,0.0007485673627754296
64,bigram,Malayalam,Oriya,1.6930195704831754,0.17044503629700003,0.5007644084903022,2.138439995215557,0.001253815857029122
65,bigram,Malayalam,Punjabi,1.8735031580258477,0.1621369689845021,0.4376631642091244,2.6405783493959567,0.00021478318415580868
66,bigram,Malayalam,Tamil,0.9709805746975972,0.13596908561070126,0.1769766910107582,1.1945345970317378,0.00636435194284471
67,bigram,Malayalam,Telugu,1.6409987762302196,0.15611298877393315,0.7861250965611147,2.221723395256812,0.001324599553092035
68,bigram,Malayalam,Urdu,1.9663260120009562,0.1655609016008602,-0.018269348242743868,2.3039396374324803,3.6544833310666125e-05
69,bigram,Marathi,Marathi,0.0,0.0,0.0,0.0,0.00586263734043545
70,bigram,Marathi,Oriya,1.740924894167491,0.12504827380646108,0.17437661657254358,2.0560505374406888,0.0004632652241480511
71,bigram,Marathi,Punjabi,1.6658243631420997,0.09885742329338401,0.31199226569935934,1.538852418426979,0.0009748160287567864
72,bigram,Marathi,Tamil,1.7370578865368485,0.12001187017380471,0.45547711926327894,2.835379274421153,0.0009089531314066567
73,bigram,Marathi,Telugu,1.5144450626293828,0.08920815729570279,0.2923215454180628,1.7931840275634814,0.002033414079973616
74,bigram,Marathi,Urdu,1.9191419556717642,0.11039285547762791,0.023647824580584273,1.9798491406195893,0.0001506891914672267
75,bigram,Oriya,Oriya,0.0,0.0,0.0,0.0,0.01070096388983637
76,bigram,Oriya,Punjabi,1.8733020466700898,0.1273239631815113,1.1442824730944996,2.6730271932082132,0.0001746785734374682
77,bigram,Oriya,Tamil,1.6772186691143083,0.13430910932690104,0.29247416275340277,2.173230564286869,0.0015100724733214583
78,bigram,Oriya,Telugu,1.7384760758965718,0.12433612476601641,0.5247499650795584,2.110966997058126,0.000701889057806292
79,bigram,Oriya,Urdu,1.9647879117078009,0.13128907872531134,0.0008619145424051971,1.9367898674463115,4.473264014939782e-05
80,bigram,Punjabi,Punjabi,0.0,0.0,0.0,0.0,0.005859784857285443
81,bigram,Punjabi,Tamil,1.8647946384186993,0.12494867397130328,0.1615291812833447,2.8169482216841413,0.00030286581754522567
82,bigram,Punjabi,Telugu,1.4671098410302932,0.08964118706544641,0.2631367759345246,1.823363821683536,0.001993264293194872
83,bigram,Punjabi,Urdu,1.9455669553272978,0.11123833009888923,-0.004582155777552203,2.020009098499466,5.557117854973759e-05
84,bigram,Tamil,Tamil,0.0,0.0,0.0,0.0,0.010358117904992064
85,bigram,Tamil,Telugu,1.5992382602911777,0.11401970274632185,1.4394416159622945,2.1568974834178998,0.0017599557191195524
